id,type,amount,timestamp,location,accountId,merchant,cardType,priorDeclineCount,billingAddress,shippingAddress,isGuestCheckout
TX-001,BANK,45.50,2026-04-29T10:00:00,New York,ACC-001,Target,VISA,0,,,
TX-002,BANK,52.00,2026-04-29T11:30:00,New York,ACC-001,Starbucks,VISA,0,,,
TX-003,BANK,48.00,2026-04-29T12:15:00,New York,ACC-001,Trader Joes,VISA,0,,,
TX-004,BANK,495.00,2026-04-29T14:00:00,New York,ACC-001,Best Buy,VISA,0,,,
TX-ERR,BANK,invalid_amount,2026-04-29T14:05:00,New York,ACC-001,ErrorStore,VISA,0,,,
TX-005,ECOMMERCE,120.00,2026-04-29T15:00:00,Online,ACC-002,,,,123 Main St NY,999 Sketchy Freight Forwarder FL,true
TX-006,BANK,25.00,2026-04-29T15:30:00,New York,ACC-003,ATM,MASTERCARD,4,,,
TX-007,BANK,10.00,2026-04-29T16:01:00,New York,ACC-004,Vending,VISA,0,,,
TX-008,BANK,10.00,2026-04-29T16:01:30,New York,ACC-004,Vending,VISA,0,,,
TX-009,BANK,10.00,2026-04-29T16:02:00,New York,ACC-004,Vending,VISA,0,,,
TX-010,BANK,10.00,2026-04-29T16:02:15,New York,ACC-004,Vending,VISA,0,,,
TX-011,BANK,10.00,2026-04-29T16:02:30,New York,ACC-004,Vending,VISA,0,,,
TX-012,BANK,10.00,2026-04-29T16:02:45,New York,ACC-004,Vending,VISA,0,,,
TX-013,BANK,10.00,2026-04-29T16:03:00,New York,ACC-004,Vending,VISA,0,,,
TX-014,BANK,10.00,2026-04-29T16:03:15,New York,ACC-004,Vending,VISA,0,,,
TX-015,BANK,200.00,2026-04-29T18:00:00,London,ACC-001,Pub,VISA,0,,,
